Date_Param,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,Gorontalo,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku,Maluku Utara,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua,Papua Barat,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-02-09,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,29999.99999443636,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-10,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,29999.99998395692,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-11,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,29999.999962900627,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-12,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.0,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-13,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.0,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-14,29350.0,20250.0,18250.0,43350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.0,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-15,29350.0,19250.0,18250.0,40850.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.0,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-16,29350.0,19250.0,18250.0,40850.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.0,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-17,29350.0,19250.0,18250.0,40850.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.0,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-18,29350.0,19250.0,18250.0,40850.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,44750.0,36100.0,65000.0,75000.0,12250.0,30000.0,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
