Date_Param,Semua Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
2026-03-17,48600.0,43500.0,31000.0,28350.0,52500.0,48750.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-18,48600.0,43500.0,31000.0,28350.0,52500.0,48750.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-19,48600.0,43500.0,31000.0,28350.0,52500.0,48750.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-20,48600.0,43500.0,31000.0,28350.0,52500.0,48750.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-21,48600.0,43500.0,31000.0,28350.0,52500.0,48750.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-22,48600.0,43500.0,31000.0,28350.0,52500.0,48750.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-23,48600.0,43500.0,31000.0,28350.0,52500.0,48750.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,60850.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-24,49050.0,43500.0,31000.0,28350.0,52500.0,48750.0,42650.0,47500.0,48350.0,58100.0,66250.0,60850.0,52250.0,56350.0,64650.0,51650.0,75000.0,45000.0,44200.0,43350.0,76650.0,50000.0,43750.0,30650.0,24500.0,35450.0,51650.0,31650.0,34350.0,57500.0,71700.0,52650.0
2026-03-25,53150.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,60500.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,41500.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-03-26,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
