Date_Param,Semua Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
2026-03-09,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-10,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-11,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-12,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-13,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-14,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-15,31350.0,31050.0,29850.0,43700.0,32000.0,42500.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-16,31250.0,31050.0,29850.0,43700.0,32000.0,40000.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-17,31600.0,31050.0,29850.0,43700.0,32000.0,50000.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-18,31600.0,31050.0,29850.0,43700.0,32000.0,50000.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
